,ds,y,unique_id
0,1987-01-01,54.79411150896401,0
1,1987-02-01,55.215118533472996,0
2,1987-03-01,55.487803264105,0
3,1987-04-01,56.049778406565,0
4,1987-05-01,56.4620986304,0
5,1987-06-01,56.787555534304,0
6,1987-07-01,57.075956261706,0
7,1987-08-01,57.380247366171,0
8,1987-09-01,57.843330978824994,0
9,1987-10-01,58.295686249381,0
10,1987-11-01,58.901274039166005,0
11,1987-12-01,59.404457132088005,0
12,1988-01-01,60.018417654184,0
13,1988-02-01,60.490285698618,0
14,1988-03-01,61.284490173589,0
15,1988-04-01,61.444261953922,0
16,1988-05-01,61.84520489424501,0
17,1988-06-01,61.443358227198,0
18,1988-07-01,64.588123450727,0
19,1988-08-01,65.29032798379001,0
20,1988-09-01,66.07932755833299,0
21,1988-10-01,67.175760420832,0
22,1988-11-01,68.42762614788,0
23,1988-12-01,69.831435499985,0
24,1989-01-01,71.172723813049,0
25,1989-02-01,72.762942815842,0
26,1989-03-01,74.48288170034199,0
27,1989-04-01,75.805259800236,0
28,1989-05-01,77.050349538929,0
29,1989-06-01,78.136649148959,0
30,1989-07-01,79.030233996995,0
31,1989-08-01,80.09519053579001,0
32,1989-09-01,81.10219655797,0
33,1989-10-01,82.05997910938301,0
34,1989-11-01,82.709104172802,0
35,1989-12-01,83.572869701605,0
36,1990-01-01,84.078260311918,0
37,1990-02-01,84.737413089852,0
38,1990-03-01,85.126856958761,0
39,1990-04-01,85.54542223527,0
40,1990-05-01,85.737950256044,0
41,1990-06-01,85.748846699764,0
42,1990-07-01,85.594142202546,0
43,1990-08-01,85.335202010493,0
44,1990-09-01,85.222220741618,0
45,1990-10-01,84.924635780537,0
46,1990-11-01,84.653962064327,0
47,1990-12-01,84.032362465679,0
48,1991-01-01,83.480959694011,0
49,1991-02-01,82.564157267693,0
50,1991-03-01,81.597500188302,0
51,1991-04-01,81.207322878856,0
52,1991-05-01,81.534367003836,0
53,1991-06-01,81.886580307851,0
54,1991-07-01,82.104719118326,0
55,1991-08-01,81.93663296566599,0
56,1991-09-01,81.661364224228,0
57,1991-10-01,81.661919902755,0
58,1991-11-01,81.452928257396,0
59,1991-12-01,81.33516972673199,0
60,1992-01-01,80.863439340056,0
61,1992-02-01,80.56912067039501,0
62,1992-03-01,80.69215834154001,0
63,1992-04-01,80.684120644185,0
64,1992-05-01,80.451807716493,0
65,1992-06-01,79.91457332215201,0
66,1992-07-01,79.570955303777,0
67,1992-08-01,79.26770749229,0
68,1992-09-01,79.03647236503801,0
69,1992-10-01,78.15531218455901,0
